2026-01-25 18:09:11,180 | INFO | seed=42 deterministic=True
2026-01-25 18:09:11,182 | INFO | Extracting SKIN.zip -> runs\skin_srerm\data_extracted
2026-01-25 18:09:11,765 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-25 18:09:12,194 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=1608 n_test=176
2026-01-25 18:09:12,207 | INFO | S_-1 split: |train|=1286 |val|=322
2026-01-25 18:09:12,207 | INFO | class_weights=[1.0295490026474, 0.9704510569572449]
2026-01-25 18:09:13,589 | INFO | Training baseline ERM on S_-1 ...
2026-01-25 18:10:08,913 | INFO | [baseline] epoch=1 train_loss=0.7137 val_loss=0.7422
2026-01-25 18:11:01,702 | INFO | [baseline] epoch=2 train_loss=0.9399 val_loss=0.9891
2026-01-25 18:11:55,375 | INFO | [baseline] epoch=3 train_loss=0.6773 val_loss=0.7423
2026-01-25 18:12:49,042 | INFO | [baseline] epoch=4 train_loss=0.7758 val_loss=0.9215
2026-01-25 18:13:42,590 | INFO | [baseline] epoch=5 train_loss=0.7234 val_loss=0.9308
2026-01-25 18:14:36,142 | INFO | [baseline] epoch=6 train_loss=0.6088 val_loss=1.0185
2026-01-25 18:15:29,421 | INFO | [baseline] epoch=7 train_loss=0.5324 val_loss=0.8942
2026-01-25 18:16:24,373 | INFO | [baseline] epoch=8 train_loss=0.5598 val_loss=1.0798
2026-01-25 18:17:18,631 | INFO | [baseline] epoch=9 train_loss=0.3674 val_loss=0.9900
2026-01-25 18:18:11,540 | INFO | [baseline] epoch=10 train_loss=0.3802 val_loss=0.9891
2026-01-25 18:19:12,151 | INFO | d_hat=10 tau_R=5.5212 v=0.8282
2026-01-25 18:19:12,165 | INFO | Training SR-ERM ...
2026-01-25 19:55:26,643 | INFO | seed=42 deterministic=True
2026-01-25 19:55:26,646 | INFO | Using data_root=runs/skin_srerm/data_extracted/SKIN
2026-01-25 19:55:26,813 | INFO | classes=['BENIGN', 'MALIGNANT'] n_train=1608 n_test=176
2026-01-25 19:55:26,819 | INFO | S_-1 split: |train|=1286 |val|=322
2026-01-25 19:55:26,819 | INFO | class_weights=[1.0295490026474, 0.9704510569572449]
2026-01-25 19:55:26,870 | INFO | Training baseline ERM on S_-1 ...
2026-01-25 19:56:19,374 | INFO | [baseline] epoch=1 train_loss=0.7137 val_loss=0.7422
2026-01-25 19:57:11,815 | INFO | [baseline] epoch=2 train_loss=0.9399 val_loss=0.9891
2026-01-25 19:58:07,202 | INFO | [baseline] epoch=3 train_loss=0.6773 val_loss=0.7423
2026-01-25 19:59:13,254 | INFO | [baseline] epoch=4 train_loss=0.7758 val_loss=0.9215
2026-01-25 20:00:08,384 | INFO | [baseline] epoch=5 train_loss=0.7234 val_loss=0.9308
2026-01-25 20:01:02,929 | INFO | [baseline] epoch=6 train_loss=0.6088 val_loss=1.0185
